Date,Ticker,Company,Market,Open,High,Low,Close,Volume,Daily_Return,Cumulative_Return,MA_20,MA_50,MA_200,Volatility_20,BB_Mid,BB_Std,BB_Upper,BB_Lower,BB_Width,RSI,MACD,MACD_Signal,MACD_Hist,52W_High,52W_Low,52W_Pct
2024-12-16,HDFCBANK.NS,HDFC Bank,India,920.1128492893369,922.5054957499956,915.2535445762154,920.1621704101562,13107082,-0.34994000546900716,27.519652877129786,895.8137908935547,864.0161071777344,,0.9154497475092276,895.8137908935547,25.948040123444365,947.7098711404434,843.917710646666,11.586354390709587,73.10697857384872,17.683996314411274,16.57666107909096,1.1073352353203134,,,
2024-12-17,HDFCBANK.NS,HDFC Bank,India,915.7962178924912,918.7562078618506,901.0702798391582,904.4002685546876,21079532,-1.7129482565494847,25.335307206413038,898.9748168945313,865.7486877441406,,1.0367246721213232,898.9748168945313,22.573531595699183,944.1218800859297,853.8277537031329,10.04412189150235,55.89975290817194,15.859188189381939,16.43316650114916,-0.5739783117672204,,,
2024-12-18,HDFCBANK.NS,HDFC Bank,India,902.7229483325016,905.7569501607672,891.5243434620028,893.275634765625,23422312,-1.230056444680272,23.793612182660738,900.6632446289062,867.6519616699219,,1.0030361754908141,900.6632446289062,20.646759537495104,941.9567637038964,859.369725553916,9.169580155789312,54.84942652513547,13.361328550537564,15.818798911026843,-2.4574703604892782,,,
2024-12-19,HDFCBANK.NS,HDFC Bank,India,887.7995941182149,888.5395915672278,877.6369745293333,884.790283203125,25380770,-0.9499141398529698,22.617679156302906,901.9533081054688,869.0574621582032,,1.0343143524431813,901.9533081054688,18.611554152810427,939.1764164110896,864.7301997998479,8.253888082922401,49.3469601902978,10.575156018815733,14.770070332584622,-4.194914313768889,,,
2024-12-20,HDFCBANK.NS,HDFC Bank,India,879.2156362475025,886.7883251977108,871.7417099804251,873.93701171875,25692348,-1.226649036547267,21.113590576295493,902.5921752929687,870.4225109863281,,1.0787619600475948,902.5921752929687,17.3114470398179,937.2150693726045,867.9692812133329,7.671879953623059,42.042201270059294,7.405954674481563,13.29724720096401,-5.891292526482447,,,
2024-12-23,HDFCBANK.NS,HDFC Bank,India,879.1169941259847,890.956953642833,878.7716860618692,888.4902954101562,11044592,1.6652554470470093,23.130441240481446,902.9720428466796,871.7900268554688,,1.0185797273514618,902.9720428466796,16.888423594396226,936.7488900354721,869.1951956578872,7.481260899796779,44.15706573511766,5.999509531944909,11.83769966716019,-5.838190135215282,,,
2024-12-24,HDFCBANK.NS,HDFC Bank,India,889.0083275055933,892.2889348142179,882.8416818560752,887.0596313476562,14485834,-0.16102191210085604,22.9321742496178,903.281607055664,873.2414086914063,,1.019607906318752,903.281607055664,16.514543918107503,936.310694891879,870.252519219449,7.313131935427446,33.2974482721843,4.715096295262811,10.413178992780715,-5.698082697517904,,,
2024-12-26,HDFCBANK.NS,HDFC Bank,India,887.2816657547127,893.916952377888,878.5003382709294,883.4336547851562,10481678,-0.4087635638419518,22.429672313046666,902.7500427246093,874.25421875,,0.9637006477199968,902.7500427246093,16.99104427650545,936.7321312776203,868.7679541715984,7.528570909938455,29.978664376775214,3.3658046456371267,9.003704123351998,-5.637899477714871,,,
2024-12-27,HDFCBANK.NS,HDFC Bank,India,885.4316968356189,890.9322967259654,882.6196702111419,887.1336669921875,7259330,0.4188217402619765,22.94243439722521,902.875845336914,875.3804956054687,,0.9391797322857612,902.875845336914,16.85852251625751,936.592890369429,869.158800304399,7.468810957044321,34.42406529001988,2.565468234147943,7.716056945511188,-5.150588711363245,,,
2024-12-30,HDFCBANK.NS,HDFC Bank,India,884.1489668763874,895.3969526845203,873.6903598921683,877.0943603515625,22222218,-1.1316565940579282,21.55114823147366,902.4281463623047,876.1510791015625,,0.972720570714417,902.4281463623047,17.43785535262471,937.3038570675541,867.5524356570553,7.729304730982443,25.90266947125268,1.1083315616874643,6.394511868746443,-5.286180307058979,,,
2024-12-31,HDFCBANK.NS,HDFC Bank,India,873.3450067875037,879.0183205202264,871.0263119988338,874.6029663085938,14117236,-0.28405085650877737,21.205881153825914,901.6425140380859,877.1347814941406,,0.9658940456172803,901.6425140380859,18.342759935904414,938.3280339098948,864.956994166277,8.137486709119234,25.48262056438105,-0.24467397784678724,5.066674699427798,-5.3113486772745855,,,
2025-01-01,HDFCBANK.NS,HDFC Bank,India,874.8989910757854,885.0369805772112,868.80635723923,879.4869995117188,7313806,0.5584286117549908,21.88272947331862,900.5682861328125,878.1303247070313,,0.9312428417026359,900.5682861328125,19.00140899044088,938.5711041136943,862.5654681519308,8.439741564534122,29.82679787286915,-0.9123232592513659,3.870875107691966,-4.783198366943331,,,
2025-01-02,HDFCBANK.NS,HDFC Bank,India,876.699651347947,889.6989281059142,874.6770036544534,884.9136352539062,18558576,0.6170228491382268,22.634773763322325,898.9316589355469,878.7721496582031,,0.8293627654807315,898.9316589355469,18.86218720882489,936.6560333531967,861.2072845178972,8.393157375794367,34.12507076580596,-0.9921194375077675,2.8982761986520194,-3.890395636159787,,,
2025-01-03,HDFCBANK.NS,HDFC Bank,India,883.5569553072743,885.6536147489581,861.5050553855514,862.9356689453125,24426194,-2.4836283941186754,19.58898170107326,896.0567657470704,879.1140270996094,,0.9669105847253702,896.0567657470704,19.77230988045716,935.6013855079847,856.512145986156,8.826364862709282,24.292028393091186,-2.7965596879669192,1.7593090213282316,-4.555868709295151,,,
